,cert,fed_rssd
1332,2453,357526
1333,1522,460341
1334,29535,324975
1335,27269,271275
1336,29874,1005075
1337,29926,738572
1338,6101,66154
1339,15200,872047
1340,23620,193809
1341,26588,513322
1342,5123,314257
1343,17450,902645
1344,29066,705378
1345,26564,975256
1346,26633,65513
1347,15883,539340
1348,26530,571265
1349,13240,222446
1350,12857,220844
1351,58180,3382547
1352,33565,1940747
1353,623,214807
1354,26392,304913
1355,16249,347639
1356,10803,846132
1357,14705,668147
1358,1527,27847
1359,3787,771140
1360,1490,575656
1361,18200,311603
1362,16012,924405
1363,5649,30810
1364,9668,724548
1365,14769,56548
1366,7464,71318
1367,3977,401559
1368,32245,961624
1369,57230,3049635
1370,57336,3090833
1371,32737,1436071
1372,34331,2502825
1373,10804,823142
1374,15219,642549
1375,10643,397559
1376,17713,537038
1377,15336,101439
1378,17441,602842
1379,30746,370271
1380,58119,3441677
1381,58282,3346633
1382,8824,1000959
1383,90191,197302
1384,3873,453446
1385,57477,3133570
1386,30439,278872
1387,21809,252256
1388,34742,2652092
1389,34313,2605566
1390,5796,645540
1391,33510,1000100
1392,90173,738303
1393,31628,197478
1394,30313,35879
1395,25749,98717
1396,32773,128904
1397,28167,939070
1398,32277,206772
1399,982,643340
1400,20026,171133
1401,32360,643078
1402,90188,859002
1403,29846,980773
1404,58049,3347603
1405,29981,633677
1406,34489,2594419
1407,9678,845247
1408,28390,3529315
1409,57734,3320576
1410,30953,961576
1411,29065,615776
1412,12985,282824
1413,10489,609645
1414,29904,17978
1415,15259,679451
1416,16553,439356
1417,12162,998648
1418,16001,861304
1419,10185,13251
1420,57228,3068579
1421,58413,3482045
1422,14944,12656
1423,12054,137915
1424,57834,3268173
1425,58632,3706013
1426,57672,3277241
1427,4789,65858
1428,59099,5192496
1429,57293,3121072
1430,27205,1186965
1431,10716,431958
1432,13000,435059
1433,31445,239275
1434,33380,1836701
1435,34786,2730431
1436,27237,1190476
1437,27408,1356768
1438,11539,457426
1439,90270,332402
1440,31485,81175
1441,26591,115575
1442,30707,206473
1443,25858,139656
1444,10004,599643
1445,18265,145956
1446,10980,40855
1447,16629,918954
1448,1746,305433
1449,58140,3447820
1450,28262,952677
1451,8675,781028
1452,17262,961400
1453,29268,794475
1454,28401,587677
1455,26799,498531
1456,6947,292908
1457,57109,3029253
1458,26444,952172
1459,35230,2834759
1460,28914,55970
1461,23404,427858
1462,34010,2297998
1463,1299,592448
1464,1435,492650
1465,8468,507068
1466,160,613839
1467,4619,144052
1468,13366,456755
1469,10528,985451
1470,1616,686459
1471,8274,2747466
1472,12402,769334
1473,10132,805045
1474,18838,787141
1475,15064,618544
1476,20711,1002430
1477,5551,537560
1478,9378,14155
1479,12761,163857
1480,16916,937834
1481,10184,114251
1482,10967,171759
1483,14922,542153
1484,5401,259059
1485,9963,741330
1486,16897,510330
1487,30595,413673
1488,8083,682648
1489,18213,882701
1490,27806,666974
1491,30056,798277
1492,28652,618777
1493,11731,601032
1494,26856,564557
1495,57603,3184228
1496,23286,833404
1497,29357,156970
1498,29962,969974
1499,5589,377663
1500,35157,2819167
1501,924,744238
1502,9188,322757
1503,9462,176325
1504,12284,273859
1505,5716,763930
1506,2036,348720
1507,16673,22936
1508,9069,64730
1509,13046,2040
1510,8668,713926
1511,10382,672247
1512,13737,888141
1513,1331,808260
1514,34719,2667939
1515,9986,804422
1516,10469,724940
1517,15173,41245
1518,9298,863746
1519,13242,79145
1520,9340,721752
